00110000100010001110100100111100000010001000000010;0;0.555001618962;-1;-1;0
00110000100010001110100100011100000010001000000010;3;0.556085643347;26;26;0
00110000100010001110100100011110000010001000000010;5;0.557286411886;30;30;0
00110000100010001110100101011110000010001000000010;11;0.584746050539;25;25;0
00110000000010001110100101011110000010001000000010;14;0.587537531297;8;8;0
00110100000010001110100101011110000010001000000010;17;0.607340816598;5;5;0
00110100000010001110100101011110000010001010000010;37;0.623158095220;42;42;0
00110100000010001110100101011110000010001010100010;42;0.637383526972;44;44;0
10110100000010001110100101011110000010001010100011;1202;0.668785276957;49;0;1
10111100000010001110100101011110000010001010100011;1212;0.673259579462;4;4;0
10111110000010001110100101011110000010001010100011;1222;0.675558536889;6;6;0
10111110000000011100100101011110000010001010100011;11114;0.686673694833;12;18;1
