00000000000000000000000000000000000000000000000000;0;0.575776246859;-1;-1;0
00000000000000000000000000000010000000000000000000;5;0.577810475378;30;30;0
00000000000000000000100000000010000000000000000000;7;0.586531154498;20;20;0
00000000000000100000100000000010000000000000000000;9;0.599042315967;14;14;0
00000100000000100000100000000010000000000000000000;13;0.599845671449;5;5;0
00000100000000101000100000000010000000000000000000;14;0.601088832776;16;16;0
00000100000000101000100000100010000000000000000000;16;0.605592237946;26;26;0
00000100000000101000110000100010000000000000000000;17;0.622166205348;21;21;0
00000100000000101000110000100010000010000000000000;26;0.623627916418;36;36;0
00001100000000101000110000100010000010000000000000;33;0.649376369933;4;4;0
00001100000000101000110000100010000010001000000000;41;0.649651310635;40;40;0
00001100000000101000110000100010000011001000000000;43;0.651876687553;37;37;0
00001100000000101000110000100010000011001000010000;57;0.657216787030;45;45;0
00001100000001101000110000100010000011001000010000;79;0.670568293617;13;13;0
00001100000001101000110000100010000011001000110000;105;0.678652508100;44;44;0
00001100000001100000110000100010000011001000110000;108;0.683742456354;16;16;0
00001100000001101110110000100010000011001000110000;432670;0.715894653907;16;18;1
00001100000001101110110000101010000011001000110000;432700;0.718397231539;28;28;0
00001100000001101110110000101010000000001000110000;462372;0.735715873808;36;37;1
