00000000000000000000000000000000000000000000000000;0;0.575776246859;-1;-1;0
00000000000000000000000010000000000000000000000000;10;0.590566020063;24;24;0
00000000100000000000000010000000000000000000000000;18;0.591583169471;8;8;0
01000000100000000000000010000000000000000000000000;53;0.597972578610;1;1;0
01000000100000000000000011000000000000000000000000;58;0.598604073403;25;25;0
11110000100000000000000011000000000000000000000110;5987;0.605108993428;47;3;1
11110000100000000000000011000000100000000000000110;5991;0.606778833683;32;32;0
11110000100000000000000011100000100000000000000110;6024;0.612083960563;26;26;0
11110000100000000000000011100001100000000000000110;6049;0.621426511575;31;31;0
11110000111110000000000011100001100000000000000110;35390;0.646192720181;9;12;1
11100001111010000000000011100001100000000000000110;54003;0.652191096224;3;11;1
11100001111010000000000011100001111111000000000110;72463;0.658324248771;33;37;1
